question_category,number,question_type,question,answer,law_or_source,article_or_section,election
Civic Education,46,Open-ended,ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ဘယ်လို ပြင်ဆင်ရမလဲ။,ဖွဲ့စည်းပုံအခြေခံဥပဒေကို ပြင်ဆင်ရန် တင်သွင်းသော အဆိုကို ဥပဒေ မူကြမ်းအဖြစ်နဲ့ ပြည်ထောင်စု လွှတ်တော်ကို တင်သွင်းရပါမယ်။ ပြည်ထောင်စုလွှတ်တော်မှာရှိတဲ့ လွှတ်တော်ကိုယ်စားလှယ်စုစုပေါင်းရဲ့ ၂၀ရာခိုင်နှုန်းက တင်ပြမှ အဆိုပါ ပြင်ဆင်ချက် ဥပဒေမူကြမ်းကို ပြည်ထောင်စုလွှတ်တော်က လက်ခံဆွေးနွေးရပါမယ်။ ပုဒ်မ (၄၃၆) (က) တွင် ဖော်ပြထားသော ပြဌာန်းချက်များကို ပြင်ဆင်လိုရင် ပြည်ထောင်စုလွှတ်တော် ကိုယ်စားလှယ် အားလုံးရဲ့ ၇၅ ရာခိုင်နှုန်းကျော်က ပြင်ဆင်ရန် သဘောတူ လက်ခံပြီးနောက် ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲ ကျင်းပရမယ်။ ပြည်လုံးကျွတ်ဆန္ဒခံယူပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူ အားလုံးရဲ့ ထက၀်ကျော်ဆန္ဒမဲဖြင့်သာ ပြင်ဆင်ရပါမယ်။ ပုဒ်မခွဲ (က)မှာ ဖော်ပြထားတဲ့ ပြဌာန်းချက် များမှအပ အခြားပြဌာန်းချက်များကိုတော့ ပြည်ထောင်စုလွှတ်တော်ကိုယ်စားလှယ်အားလုံးရဲ့ ၇၅ ရာခိုင်နှုန်း ကျော် ထောက်ခံဆန္ဒမဲဖြင့် ပြင်ဆင်နိုင်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁၂)၊ ပုဒ်မ ၄၃၃ မှ ၄၃၆ ထိ,2015GeneralElection
ElectionGeneral,47,Open-ended,ပါတီများ လွတ်လပ်စွာ စည်းရုံးခွင့်ရှိသလား။,နိုင်ငံရေးပါတီတရပ်ဟာ နိုင်ငံတော်အတွင်း ဥပဒေနဲ့အညီ လွတ်လပ်စွာ စည်းရုံးခွင့်ရှိပါတယ်။ သို့သော် ထိုစည်းရုံးခြင်းသည် ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်၏ညွှန်ကြားချက် သို့မဟုတ် အမိန့်ထုတ်ပြန်ချက်အား ဆန့်ကျင်ခြင်းမရှိရပေ။ ရွေးကောက်ပွဲများမှာ ပါဝင်ယှဉ်ပြိုင်ခွင့် ရှိပါတယ်။ ,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁၀၊ ပုဒ်မ ၄၀၆,2015GeneralElection
ElectionGeneral,48,Yes/No,နိုင်ငံရေးပါတီအဖြစ် မှတ်ပုံတင်ခြင်းကို ပယ်ဖျက်နိုင်လား။,နိုင်ငံရေးပါတီတရပ်ရပ်ဟာ တည်ဆဲဥပဒေအရ မတရားအသင်းအဖြစ် ကြေညာခံရခြင်း၊ ဘာသာရေးကို နိုင်ငံရေးအတွက် အလွဲသုံးစားပြုခြင်း၊ နိုင်ငံခြားတိုင်းပြည်တခုခုမှ အစိုးရ သို့မဟုတ် ဘာသာရေးအဖွဲ့အစည်း သို့မဟုတ် အခြားအဖွဲ့အစည်းတခုခု သို့မဟုတ် ပုဂိ္ဂုလ်တဦးဦးထံမှ ငွေကြေး၊ ပစ္စည်း၊ အခြားအထောက်အပံ့ကို တိုက်ရိုက်ဖြစ်စေ၊ သွယ၀ုက်၍ ဖြစ်စေ ရယူသုံးစွဲခြင်း စတာတွေနဲ့ ငြိစွန်းကြောင်း မှတ်ပုံတင်ခွင့်ပေးနိုင်သော အဖွဲ့အစည်းက တွေ့ရှိရင် နိုင်ငံရေး ပါတီအဖြစ် မှတ်ပုံတင်ထားခြင်းကို ပယ်ဖျက်ရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၁၀၊ ပုဒ်မ ၄၀၇ နှင့် ၄၀၈,2015GeneralElection
Civic Education,49,Open-ended,တိုင်းရင်းသားရေးရာဝန်ကြီးတွေကို ဘယ်လို ရွေးချယ်တင်မြှောက်လဲ။,မြန်မာနိုင်ငံ လူဦးရေစုစုပေါင်းရဲ့၀၁ ရာခိုင်နှုန်းနဲ့ အထက်ရှိကြောင်း သက်ဆိုင်ရာက သတ်မှတ်သော တိုင်းရင်းသားလူမျိုးအသီးသီးက လူမျိုးတမျိုးမှာ တဦးကျစီ သက်ဆိုင်ရာ ပြည်နယ်များနဲ့ တိုင်းဒေသကြီးမှာ ရွေးကောက်တင်မြှောက်ခံရပါတယ်။ တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ဝန်ကြီးချုပ်မှ ခန့်အပ်နိုင်သည်။  ။ တိုင်းရင်းသားရေးရဝန်ကြီး (၂၉) ဦးကို ရွေးချယ်တင်မြှောက်နိုင်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၄)၊ ၁၆၁ (ခ) (ဂ)၊ ပုဒ်မ ၂၆၂ (င),2015GeneralElection
HowtoVote,50,Open-ended,ရွေးကောက်ပွဲကာလ မဲပေးသောအခါ လျှို့ဝှက်ချက်တွေ ရှိပါသလား။,ရွေးကောက်ပွဲကျင်းပရာမှာ လျှို့ဝှက်ဆန္ဒမဲပေးခြင်း စနစ်ကို ကျင့်သုံးရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၁ (ဃ),2015GeneralElection
HowtoVote,51,Open-ended,ဘယ်သူတွေက ဆန္ဒမဲ ပေးပိုင်ခွင့် ရှိသလဲ။,ရွေးကောက်ပွဲစတင်ကျင်းပတဲ့ နေ့မှာ အသက် (၁၈) နှစ်ပြည့်ပြီး၊ ဥပဒေအရ အရည်အချင်း ပျက်ယွင်းသူ မဟုတ်သည့်အပြင် ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသော နိုင်ငံသားနဲ့ ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း ဆန္ဒမဲပေးလို့ ရပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၁,2015GeneralElection
HowtoVote,52,Open-ended,ဘယ်သူတွေက ဆန္ဒမဲ ပေးပိုင်ခွင့် မရှိတာလဲ။,သာသနာ့ဝန်ထမ်းများ၊ ထောင်ဒဏ် ကျခံနေရသူများ၊ စိတ်ပေါ့သွပ်တယ်လို့ သက်ဆိုင်ရာ ဥပဒေပြဌာန်းချက်များအတိုင်း သတ်မှတ်ခြင်း ခံရသူများ၊ လူမွဲအဖြစ် ဆုံးဖြတ်ကြေညာခံထားရခြင်းမှ လွတ်မြောက်ခွင့် မရသေးသူများ၊ ရွေးကောက်တင်မြှောက်ခြင်းဆိုင်ရာ ဥပဒေအရ တားမြစ်ခြင်း ခံရသူများတွေဟာ ဆန္ဒမဲပေးပိုင်ခွင့် မရှိပါဘူး။ ,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၂,2015GeneralElection
ElectionGeneral,53,Yes/No,လွှတ်တော်ကိုယ်စားလှယ်ကို ရွေးပြီးရင်၊ တာဝန်ကနေ ပြန်လည်ရုတ်သိမ်းလို့ ရသလား။,နိုင်ငံတော်ရဲ့ ကျေးဇူးသစ္စာကို ဖောက်ဖျက်ခြင်း၊ အကျင့်သိက္ခာ ပျက်ပြားခြင်း၊ ဥပဒေအရ ပေးအပ်တဲ့တာဝန်များကို ကျေပြွန်စွာ မဆောင်ရွက်ခြင်း ဆိုတဲ့ အကြောင်းတရပ်ရပ်ကြောင့် တာဝန်မှ ပြန်လည်ရုတ်သိမ်းခွင့် ရှိပါတယ်။ ထို့အပြင် မူလမဲဆန္ဒရှင်များအနက် အနည်းဆုံး တစ်ရာခိုင်နှုန်းတို့က လွှတ်တော်ကိုယ်စားလှယ်အားတာဝန်မှ ရုပ်သိမ်းနိုင်သည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၆,2015GeneralElection
ElectionGeneral,54,Yes/No,ရွေးကောက်တင်မြှောက်လိုက်သော ပါတီကို ပြန်လည်ရုတ်သိမ်းပိုင်ခွင့်ရှိသလား။,ရွေးကောက်တင်မြှောက်လိုက်သော ပါတီကို ပြန်လည်ရုတ်သိမ်းပိုင်ခွင့် မရှိပါ။ လွှတ်တော်ကိုယ်စားလှယ်တဦးကိုတော့ တာဝန်မှ ပြန်လည်ရုတ်သိမ်းလိုပါက သက်ဆိုင်ရာ မဲဆန္ဒနယ်ရဲ့ မူလမဲဆန္ဒရှင်များအနက် အနည်းဆုံး တစ်ရာခိုင်နှုန်းတို့က တာဝန်မှ ပြန်လည်ရုတ်သိမ်းလိုသော လွှတ်တော်ကိုယ်စားလှယ်နဲ့ ပတ်သက်တဲ့ တိုင်တန်းချက်ကို ပြည်ထောင်စု ရွေးကောက်ပွဲ ကော်မရှင်ထံ တင်ပြရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၆,2015GeneralElection
ElectionGeneral,55,Open-ended,ရွေးကောက်ပွဲကော်မရှင်ကို ဘယ်လို ဖွဲ့စည်းတာလဲ။,နိုင်ငံတော်သမ္မတက ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်တရပ်ကို ဖွဲ့စည်းရပါမယ်။ ပြည်ထောင်စု ရွေးကောက်ပွဲ ကော်မရှင် ဥက္ကဌ အပါဝင် အဖွဲ့ဝင်အနည်းဆုံး ငါးဦးတွင် ဦးတင်အေးမှ ဥက္ကဌအဖြစ်ထမ်းဆောင်ကျန်အ ဖွဲ့ဝင်များအားလည်းခန့်အပ်တာဝန်ပေးနိုင်ပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၈,2015GeneralElection
ElectionGeneral,56,Open-ended,ရွေးကောက်ပွဲကို ဘယ်သူတွေ ကြီးကြပ်မှာလဲ။,ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင်က လွှတ်တော်ရွေးကောက်ပွဲများကို ကြီးကြပ်ခြင်း၊ ကော်မရှင်ခွဲအဆင့်ဆင့် ဖွဲ့စည်းခြင်းနဲ့ ကြီးကြပ်စေခြင်း တို့ကို ပြုလုပ်ရပါတယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,အခန်း (၉)၊ ပုဒ်မ ၃၉၉ (ခ),2015GeneralElection
ElectionGeneral,57,Open-ended,ပါတီတွေ ဘယ်လို တည်ထောင်ရသလဲ။,နိုင်ငံရေးပါတီအဖြစ် ဥပဒေနှင့်အညီ ဖွဲ့စည်းမှတ်ပုံတင်ထားရပါမယ်။ ပါတီတည်ထောင်လိုသူ အနည်းဆုံး ၁၅ ဦးက တည်ထောင်လိုသော ပါတီရဲ့ အမည်ကို ဖော်ပြ၍ ပါတီဝင်များကို ဥပဒေနဲ့ အညီ စည်းရုံးခွင့်ပြုရန် အတွက် ပါတီခေါင်းဆောင်နှင့် ဒု ခေါင်းဆောင်တို့မှလက်မှတ်ရေးထိုးပြီး ဝန်ခံချက်နှင့်အတူ ကော်မရှင်မှသတ်မှတ်ထားသော မှတ်ပုံတင်ကြေးအား ကိုယ်တိုင်ကော်မရှင်သို့ လျှောက်ထားရပါမယ်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ နှင့် နိုင်ငံရေးပါတီများ မှတ်ပုံတင်ခြင်း ဥပဒေ,ဖွဲ့စည်းပုံအခြေခံဥပဒေ ၄၀၅- ဂ နှင့် နိုင်ငံရေးပါတီများ မှတ်ပုံတင်ခြင်း ဥပဒေ၊ အခန်း ၃-က,2015GeneralElection
ElectionGeneral,58,Open-ended,တိုင်းဒေသကြီးနဲ့ ပြည်နယ်လွှတ်တော်များရဲ့ မဲဆန္ဒနယ်မြေကို ဘယ်လို သတ်မှတ်တာလဲ။,မြို့နယ်တနယ်မှာ မဲဆန္ဒနယ် နှစ်နယ်စီ သတ်မှတ်ထားပေးပါမယ်။,တိုင်း၊ ပြည်နယ် ရွေးကောက်ပွဲဥပဒေ,အခန်း ၃၊ အပိုဒ် (၄) (က),2015GeneralElection
ElectionGeneral,59,Open-ended,မဲရုံဝန်ထမ်းများကို သင်တန်းပေးတဲ့အခါ ပြည်သူက သိခွင့်ရှိပါသလား။ ,မဲရုံမှူး၊ ဒုမဲရုံမှူးနဲ့ မဲရံဝန်ထမ်းများအတွက် လုပ်ငန်းလမ်းညွှန်ကို ပြည်ထောင်စုရွေးကောက်ပွဲ ကော်မရှင်က ထုတ်၀ပီး၊ နိုင်ငံရေးပါတီများနဲ့ အရပ်ဘက်အဖွဲ့အစည်များ၊ ပြည်သူအများကြားမှာ ထုတ်ပြန်ထားပြီး ဖြစ်ပါတယ်။,မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနဲ့ မဲရုံအဖွဲ့ဝင် လုပ်ငန်းလမ်းညွှန်,,2015GeneralElection
ElectionGeneral,60,Open-ended,ကော်မရှင်ဆိုတာ ဘာလဲ။,ကော်မရှင်ဆိုတာ ပြည်ထောင်စု ရွေးကောက်ပွဲ ကော်မရှင်ကို ဆိုလိုပါတယ်။,ပြည်သူ့လွှတ်တော် ရွေးကောက်ပွဲဥပဒေ,၂ (စ),2015GeneralElection
ElectionGeneral,61,Open-ended,ပြည်သူ့လွှတ်တော် မဲဆန္ဒနယ်မြေကို ဘယ်လို သတ်မှတ်တာလဲ။,ပြည်သူ့လွှတ်တော် ရွေးကောက်ပွဲဥပဒေအရ ပြည်ထောင်စုဝန်းလုံးတွင် လွှတ်တော်မဲဆန္ဒနယ် ၃၃၀ထက် ပိုမို သတ်မှတ်ခြင်း မပြုရပါ။ ထိုမဲဆန္ဒနယ် ၃၃၀က်ကျော်လွန်ခြင်းမရှိပါကတမြို့နယ်မှာ အနည်းဆုံး မဲဆန္ဒနယ် တနယ် သတ်မှတ် ပေးရပါမယ်။,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲဥပဒေ,အခန်း ၃၊ အပိုဒ် (၄),2015GeneralElection
ElectionGeneral,62,Open-ended,အမျိုးသားလွှတ်တော် မဲဆန္ဒနယ်မြေကို ဘယ်လို သတ်မှတ်တာလဲ။,တိုင်းဒေသကြီးနဲ့ ပြည်နယ်တခုစီအတွက် အမျိုးသားလွှတ်တော်မဲဆန္ဒနယ် ၁၂ နယ်သာ သတ်မှတ်ရပါမယ်။,အမျိုးသားလွှတ်တေ် ရွေးကောက်ပွဲဥပဒေ,အခန်း ၃ အပိုဒ် (၄) (က),2015GeneralElection
ElectionGeneral,63,Open-ended,ရွေးကောက်ပွဲကို ဘယ်နှစ်ရက်ပြုလုပ်မလဲ။,ရွေးကောက်ပွဲများကို ဖြစ်နိုင်သရွေ့ တပြိုင်နက် ကျင်းပရပါမယ်။ ဖြစ်နိုင်သရွေ့ အများပြည်သူတို့ရဲ့ အလုပ်ပိတ်ရက်မှာသာ ကျင်းပရပါမယ်။ ရွေးကောက်ပွဲနေ့ကို ကြိုတင်သတ်မှတ်ကြေငြာရပါမယ်။,ရွေးကောက်ပွဲ ဥပဒေ,ပုဒ်မ ၃၄,2015GeneralElection
Civic Education,64,Open-ended,ပြည်သူ့လွှတ်တော်ကို ကိုယ်စားလှယ် ဘယ်နှစ်ဦးနဲ့ ဖွဲ့စည်းထားသလဲ။,ပြည်သူ့လွှတ်တော်ကို လွှတ်တော်ကိုယ်စားလှယ်ဦးရေ အများဆုံး ၄၄၀ဦးနဲ့ ဖွဲ့စည်းရပါမယ်။ မြို့နယ် ၃၃၀မှ လွှတ်တော်ကိုယ်စားလှယ်များနှင့် တပ်မတော်သား လွှတ်တော်ကိုယ်စားလှယ် ၁၁၀ဦး ဖြစ်ပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,အခန်း ၂၊ အပိုဒ် ၃(က),2015GeneralElection
Civic Education,65,Open-ended,အမျိုးသားလွှတ်တော်မှာ ကိုယ်စားလှယ် ဘယ်နှစ်ဦးနဲ့ ဖွဲ့စည်းထားသလဲ။,အမျိုးသားလွှတ်တော်ကိုယ်စားလှယ်ဦးရေ အများဆုံး ၂၂၄ ဦး နဲ့ ဖွဲ့စည်းရပါမယ်။ တိုင်းဒေသကြီးနဲ့ ပြည်နယ်တခုစီအတွက် ၁၂ ဦးနှင့် ၁၆၈ ဦး၊ တပ်မတော်သား ကိုယ်စားလှယ် ၅၆ ဦး ဖြစ်ပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,အခန်း ၂၊ အပိုဒ် ၃ (က),2015GeneralElection
VoterList,66,Open-ended,မဲစာရင်း ဆိုတာ ဘာလဲ။,ရွေးကောက်ပွဲအလို့ငှာ သတ်မှတ်ထားတဲ့ မဲဆန္ဒနယ်များအတွက် ပြုစုထားတဲ့ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိသူများရဲ့ စာရင်းကို ဆိုလိုပါတယ်။ ,ရွေးကောက်ပွဲဥပဒေ,အခန်း (၁)၊ အပိုဒ် ၂ (ည),2015GeneralElection
ElectionGeneral,67,Open-ended,ပြည်သူရဲ့ ဆန္ဒမဲကို မှန်ကန်အောင် ရေတွက်ပေးမှာလား။,ဆန္ဒမဲများကို မှန်ကန်အောင် ရေတွက်ပေးဖို့ မဲရုံမှူးနဲ့ဝန်ထမ်းများမှာ တာဝန်ရှိပါတယ်။ မဲရုံ၊ မဲရေတွက်မှုနဲ့ သက်ဆိုင်သော ချိုးဖောက်မှုများကို အရေးယူနို်င်ရန် တိုင်ကြားနိုင်ပါတယ်။ ,ရွေးကောက်ပွဲဥပဒေ,စာပိုဒ် ၁၃၊ လုပ်ငန်းလမ်းညွှန်များ,2015GeneralElection
ElectoralDisputes,68,Open-ended,မဲရုံထဲမှာ ပါတီတွေက စည်းရုံးသိမ်းသွင်းရင် ဘယ်လို တိုင်ကြားရမလဲ။,မဲရုံထဲမှာ ပါတီတွေက စည်းရုံးသိမ်းသွင်းရင် မဲရုံမှူးကို တိုင်ကြားနိုင်ပါတယ်။ မဲရုံမှူးက ချက်ချင်း အရေးယူ ဆောင်ရွက်ရပါမယ်။ (သို့မဟုတ်) သက်ဆိုင်ရာ ရွေးကောက်ပွဲ ကော်မရှင်အဖွဲ့ခွဲထံမှ လမ်းညွန်မှု ရယူရပါမယ်။ (သို့မဟုတ်) လိုအပ်ပါက ရဲအကူအညီ တောင်းခံရပါမယ်။ ,ရွေးကောက်ပွဲဥပဒေ,စာပိုဒ် ၁၃၊ ၁၄၊ လုပ်ငန်းလမ်းညွှန်များ,2015GeneralElection
ElectoralDisputes,69,Yes/No,မဲရေတွက်တာကို ပြည်သူက စောင့်ကြည့်ခွင့်ရှိသလား။,သက်ဆိုင်ရာ မဲရုံအလိုက် ဆန္ဒမဲပေးခြင်း ပြီးပြတ်လျှင် မဲရုံမှူးကိုယ်တိုင်ဖြစ်စေ၊ ယင်းက တာဝန်ပေးအပ်သော မဲရုံအဖွဲ့ဝင်ကဖြစ်စေ၊ မဲရုံတွင်ပင် မဲရုံအဖွဲ့ဝင်များ၊ မဲရုံကိုယ်စားလှယ်များနှင့် အများပြည်သူတို့ရဲ့ ရှေ့မှောက်မှာ ဆန္ဒမဲလက်မှတ်များကို ရေတွက်ရမှာ ဖြစ်ပါတယ်။ ,ရွေးကောက်ပွဲဥပဒေ,အပိုဒ် ၄၈ (ခ),2015GeneralElection
ElectoralDisputes,70,Yes/No,မဲနိုင်တဲ့ ကိုယ်စားလှယ်ကို ကန့်ကွက်ခွင့် ရှိသလား။,ရှိပါသည်။ လွှတ်တော်ကိုယ်စားလှယ်လောင်းအဖြစ် ရွေးကောက်တင်မြှောက်ခံရသူကို ကန့်ကွက်သော ကန့်ကွက်လွှာကို ယှဉ်ပြိုင်အရွေးခံသော မည်သည့် လွှတ်တော်ကိုယ်စားလှယ်လောင်းကမဆို သို့မဟုတ် မည်သည့် မဲဆန္ဒှရှင်က မဆို ဆီလျော်သော အကြောင်းပြချက်များကို ဖော်ပြပြီး ကော်မရှင်သို့ တင်သွင်းနိုင်ပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,အပိုဒ် ၆၈ (က),2015GeneralElection
ElectionGeneral,71,Open-ended,ကော်မရှင်အဖွဲ့ခွဲဆိုတာ ဘာလဲ။,နေပြည်တော်ကော်မရှင် အဖွဲ့ခွဲ၊ တိုင်းဒေသကြီး (သို့မဟုတ်) ပြည်နယ် ကော်မရှင်အဖွဲ့ခွဲ၊ ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရတိုင်း သို့မဟုတ် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ ကော်မရှင်အဖွဲ့ခွဲ ခရိုင်ကော်မရှင်အဖွဲ့ခွဲ၊ မြို့နယ် ကော်မရှင်အဖွဲ့ခွဲ၊ ရပ်ကွက် သို့မဟုတ် ကျေးရွာ အုပ်စု ကော်မရှင်အဖွဲ့ခွဲ ဆိုပြီး ရှိပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,အပိုဒ် ၂ (ဇ),2015GeneralElection
ElectoralDisputes,72,Yes/No,ရွေးကောက်ပွဲ တရားမဲ့ ပြုကျင့်မှုများကို ပြည်သူများက တင်ပြတိုင်ကြားပိုင်ခွင့်ရှိသလား။,ရှိပါသည်။ ရွေးကောက်ပွဲဥပဒေ အခန်း (၁၃) နဲ့ (၁၄) အရ မဲဆန္ဒရှင်များက တင်ပြတိုင်ကြားပိုင်ခွင့်ရှိပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,အခန်း (၁၃) ( ၁၄),2015GeneralElection
ElectionGeneral,73,Yes/No,ပါတီဝင်မဟုတ်သူတွေ ရွေးကောက်ပွဲတွင် အမတ်လောင်းဝင်ပြိုင်ခွင့် ရှိပါသလား။,ရှိပါသည်။ ပါတီတခုချင်းစီရဲ့ သတ်မှတ်ချက်ပေါ် မူတည်ပါတယ်။ ဥပဒေအရ သတ်မှတ်ထားချက် မရှိပါ။,,,2015GeneralElection
ElectionGeneral,74,Yes/No,ရွေးကောက်ပွဲကျင်းပနေစဉ်မှာ ရွေးကောက်ပွဲဆိုင်ရာ ဥပဒေ အပြောင်းအလဲ ရှိပါသလား။,ရွေးကောက်ပွဲဆိုင်ရာ ဥပဒေများကို သတ်မှတ်ပြဌာန်းထားပြီး ဖြစ်ပါတယ်။ ကျင်းပနေစဉ်မှာ ဥပဒေဆိုင်ရာ အပြောင်းအလဲ မရှိနိုင်ပါ။,,,2015GeneralElection
ElectionGeneral,75,Open-ended,ရွေးကောက်ပွဲသံသရာ ဆိုတာ ဘာလဲ။,ရွေးကောက်ပွဲအကြိုကာလ၊ ရွေးကောက်ပွဲကာလနဲ့ ရွေးကောက်ပွဲနှောင်းပိုင်းကာလ သုံးမျိုးနဲ့ ဆက်စပ်တဲ့ လုပ်ငန်းတာဝန်များကို ဖော်ပြထားတဲ့ ဖြစ်စဉ်ပြ စက်ဝိုင်းကို ဆိုလိုတာပါ။ ရွေးကောက်ပွဲအကြိုကာလမှာ ရွေးကောက်ပွဲဆိုင်ရာ တရားဥပဒေမူဘောင်၊ အစီအစဉ်ရေးဆွဲချမှတ်ခြင်းနဲ့ အကောင်အထည်ဖော်ခြင်း၊ သတင်းအချက်အလက် လေ့ကျင့်သင်ကြားခြင်းနဲ့ အသိပညာပေးခြင်း၊ စာရင်းသွင်းမှတ်ပုံတင်ခြင်း၊ ရွေးကောက်ပွဲအတွက် စည်းရုံးလှုံဆော်ခြင်း စတာတွေပါဝင်ပါတယ်။ ရွေးကောက်ပွဲကာလမှာ မဲပေးခြင်း လုပ်ငန်းဆောင်ရွက်ခြင်းများနဲ့ ရွေးကောက်ပွဲနေ့၊ ရလဒ်များ စစ်ဆေးအတည်ပြုခြင်း စတာတွေ ပါဝင်ပါတယ်။ ရွေးကောက်ပွဲ နှောင်းပိုင်းကာလမှာတော့ ရွေးကောက်ပွဲ နှောင်းပိုင်းကာလဆိုင်ရာ လုပ်ငန်း တာဝန်များ ပါဝင်ပါတယ်။,,,2015GeneralElection
Civic Education,78,Open-ended,ဒီမိုကရေစီ ဆိုတာ ဘာလဲ။,ဂရိဘာသာစကား Demo (လူထု) နဲ့ Kratos (အုပ်ချုပ်ခြင်း) စသည့် စကားလုံးများမှ ဆင်းသက်လာပါသည်။ ပြည်သူလူထုထံမှ အာဏာသက်ဆင်းခြင်း ဖြစ်ပါသည်။,,,2015GeneralElection
