question_category,number,question_type,question,answer,law_or_source,article_or_section,election
Civic Education,79,Open-ended,ဖွဲ့စည်းပုံအခြေခံဥပဒေ ဆိုတာဘာလဲ။,နိုင်ငံတနိုင်ငံရဲ့ အမြင့်မားဆုံး ဥပဒေဖြစ်ပါသည်။ နိုင်ငံသားများနဲ့ အစိုးရများအကြားက ပဋိညာဉ်စာချုပ်တခု ဖြစ်ပါသည်။ အစိုးရအဖွဲ့တွင်း များအကြားဆက်ခံရေးနှင့် အစိုးရအစိတ်အပိုင်းအသီးသီး၏ တာဝန်ယူမှုရှိစေရန် ထိန်းကွပ်ပေးသည့် တိုင်းပြည်တစ်ပြည်၏ အဓိကကျသော သို့မဟုတ် အခြေခံကျသော ဥပဒေ။,အင်္ဂလိပ်-မြန်မာ ဒီမိုကရက်တစ် ခက်ဆစ်အသုံးအနှုန်းများ,,2015GeneralElection
ElectionGeneral,82,Open-ended,မီဒီယာများအား မဲရုံထဲကိုဝင်ခွင့်ပေးမှာလား။,ပြည်ထောင်စု ရွေးကောက်ပွဲကော်မရှင်က ခွင့်ပြုထားသည့် ရွေးကောက်ပွဲလေ့လာသူများ မဲရုံထဲကိုဝင်ခွင့်ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော် ရွေးကောက်ပွဲ နည်းဥပဒေ,၄၈ (ခ)၊ အပိုဒ်ခွဲ (၇),2015GeneralElection
ElectionGeneral,83,Open-ended,ရွေးကောက်ပွဲအနိုင်အရှုံး ဘယ်လို ကြေငြာမှာလဲ။,ခိုင်လုံသော ဆန္ဒမဲ အရေအတွက် အများဆုံး ရရှိတဲ့ လွှတ်တော်ကိုယ်စားလှယ်လောင်းများအား ရွေးကောက် တင်မြှောက်ခံရတဲ့ လွှတ်တော်ကိုယ်စားလှယ်များအဖြစ် တိုင်းဒေသကြီး သို့မဟုတ် ပြည်နယ်ကော်မရှင်အဖွဲ့ခွဲကကြေညာရမည်။ ယင်းကြေငြာချက်တစ်စောင်စီကို လိုအပ်သလို ဆောင်ရွက်နိုင်ရန် ကော်မရှင်သို့အမြန်ပေးပို့ရမည်။,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲနည်းဥပဒေများ,နည်းဥပဒေပုဒ်မ ၇၂ (က),2015GeneralElection
ElectionGeneral,84,Open-ended,ကြားဖြတ်ရွေးကောက်ပွဲကို ဘာလို့ကျင်းပတာလဲ။,အထွေထွေ ရွေးကောက်ပွဲသက်တမ်းကာလတခုအတွင်း ကိုယ်စားလှယ်နေရာများ လစ်လပ်တဲ့အခါ ကြားဖြတ်ရွေးကောက်ပွဲများ ကျင်းပပါတယ်။,ရွေးကောက်ပွဲဥပဒေ,ရွေးကောက်ပွဲဥပဒေ ပုဒ်မ ၈၉,2015GeneralElection
ElectionGeneral,85,Open-ended,ရွေးကောက်ပွဲကို ဘယ်နှစ်နှစ်မှာ တကြိမ် ကျင်းပသလဲ။,ရွေးကောက်ပွဲကို (၅) နှစ်တကြိမ် ကျင်းပပါတယ်။ လွှတ်တော်ကိုယ်စားလှယ်များ၏ သက်တမ်းနှင့် သမ္မတ၊ ဒုသမ္မတသက်တမ်းကုန်ဆုံးပြီးနောက်ကျင်းပပါသည်။,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၆၁ (က)၊ ပုဒ်မ ၁၁၉၊ ပုဒ်မ ၁၅၁၊ ပုဒ်မ ၁၆၈,2015GeneralElection
ElectionGeneral,86,Open-ended,မဲရုံအဖွဲ့ဆိုတာ ဘာလဲ။,မဲရုံအဖွဲ့ဆိုတာ မဲဆန္ဒနယ်တနယ်အတွင်းရှိ မဲရုံတရုံမှာ ဆန္ဒမဲပေးခြင်းနဲ့ စပ်လျဉ်း၍ စုပေါင်းတာဝန်ယူ ဆောင်ရွက်ဖို့ သက်ဆိုင်ရာ မြို့နယ် ရွေးကောက်ပွဲကော်မရှင်အဖွဲ့ခွဲက တာဝန်ပေးအပ်ထားသော အဖွဲ့ဖြစ်သည့် မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့များကို ဆိုလိုပါတယ်။,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲနည်းဥပဒေ,ပုဒ်မ ၃၉ (ဂ),2015GeneralElection
ElectionGeneral,87,Open-ended,မဲရုံမှူးဆိုတာ ဘာလဲ။,မဲရုံအဖွဲ့အား ကြီးကြပ်သော ပုဂ္ဂိုလ်ကို ဆိုလိုပါတယ်။,,ပြည်သူ့- နည်း ၃၉ (ဂ),2015GeneralElection
ElectionGeneral,88,Open-ended,မဲရုံအဖွဲ့မှာ နိုင်ငံဝန်ထမ်းတွေပဲ ပါတာလား။,မဲရုံမှူးနဲ့ ဒုမဲရုံမှူးကတော့ဝန်ထမ်းများကိုပဲ ရွေးချယ်ခန့်ထားပါတယ်။ မဲရုံအဖွဲ့မှာတော့ဝန်ထမ်းများအပြင်၊ မဲရုံမဲစာရင်းမှာ ပါဝင်ပြီး၊ အများယုံကြည်လေးစားခြင်း ခံရသော မဲဆန္ဒရှင် သို့မဟုတ် မဲဆန္ဒနယ်မြေအတွင်းရှိ ဒေသခံပြည်သူများနဲ့ ကော်မရှင်သတ်မှတ် ဦးရေအတွင်း ဖွဲ့စည်း တာဝန်ပေးအပ်နိုင်ပါတယ်။,,ပြည်သူ့- နည်း ၃၉ (ဂ),2015GeneralElection
VoterList,91,Open-ended,မဲစာရင်း ကို ဘယ်လိုပြုစုသလဲ။,မဲဆန္ဒရှင်စာရင်း ပြုစုခြင်းကို ပြည်ထောင်စု ရွေးကောက်ပွဲကော်မရှင်က အကောင်အထည်ဖော်ပြီး၊ ပုံစံ (၁) နဲ့  ပြုစုပါတယ်။ ပြုစုရာမှာ ရပ်ကွက် သို့မဟုတ် ကျေးရွာ အုပ်ချုပ်ရေးမှူးကလည်းကောင်း၊ မြို့နယ်လူဝင်မှုကြီးကြပ်ရေးနှင့် အမျိုးသားမှတ်ပုံတင်ရေး ဦးစီးဌာနကလည်းကောင်း ပြုစုထားတဲ့ လူဦးရေ(မသန်စွမ်းသူများအပါအဝင်)စာရင်းကို ရယူအခြေခံပြီး ပြုစုပါတယ်။,,ပြည်သူ့လွှတ်တော် နည်းဥပဒေ အပိုဒ် (၄)၊ အပိုဒ် (၅),2015GeneralElection
VoterList,92,Open-ended,မဲစာရင်းကို ပြည်သူအများသိအောင် မည်ကဲ့သို့ လုပ်ဆောင်သလဲ။,မဲဆန္ဒရှင်စာရင်းကို ပြည်သူများ သိအောင် ရပ်ကွက်၊ ကျေးရွာအုပ်စု ကော်မရှင်အဖွဲ့ခွဲရုံးများမှာ ထုတ်ပြန်ကြေငြာပါတယ်။ အမည်ကို ဘယ်အချိန်မှာ လာရောက်စစ်ဆေးရမလဲ ဆိုတာကို မဲဆန္ဒရှင် ပညာပေးခြင်း ပိုစတာများနဲ့ အများပြည်သူ ထုတ်ပြန်ကြေညာချက်များနဲ့ အသိပေး အကြောင်းကြားမှာ ဖြစ်ပါတယ်။,,,2015GeneralElection
VoterList,93,Open-ended,မဲစာရင်းမှာ အမည်စာရင်း မပါရင် ဘယ်လို လုပ်မလဲ။,မဲစာရင်းမှာ မိမိအမည်ပါဝင်ခြင်း မရှိက မဲစာရင်းမှာ ထည့်သွင်းပေးရန် တောင်းဆိုလွှာကို ပုံစံ (၃) နဲ့ သက်ဆိုင်ရာ ရပ်ကွက် (သို့မဟုတ်) ကျေးရွာ ကော်မရှင်အဖွဲ့ခွဲထံမှာ တင်သွင်းနိုင်ပါတယ်။,,လွှတ်တော် နည်းဥပဒေ ပုဒ်မ ၉),2015GeneralElection
VoterList,94,Open-ended,မဲစာရင်းမှာ နာမည်နဲ့ မှတ်ပုံတင်တွေ မှားနေရင် ဘာလုပ်ရမလဲ။,မဲစာရင်းမှာ သတင်းအချက်အလက်တွေ မှားနေလို့ ပြင်ဆင်လိုရင် ပြင်ဆင်လွှာကို ပုံစံ (၄- ဂ) နှင့် နည်းဥပဒေ ၈ အရ သက်ဆိုင်ရာ ကော်မရှင်သို့အဖွဲ့ခွဲသို့ တင်သွင်းနိုင်ပါတယ်။,,လွှတ်တော် နည်းဥပဒေ ပုဒ်မ ၁၁ (က),2015GeneralElection
VoterList,95,Open-ended,မဲစာရင်းမှာ သေဆုံးတဲ့လူ နာမည်တွေ ပါနေတယ်။ ဘယ်လိုလုပ်ရမလဲ။,မဲစာရင်းမှာ ပါဝင်နေသူများမှာ သေဆုံးသူ နာမည်တွေ ပဝင်နေတာကို တွေ့ရှိရင် ကန့်ကွက်လွှာကို ပုံစံ (၄) နဲ့ တင်သွင်းနိုင်ပါတယ်။,,လွှတ်တော် နည်းဥပဒေ ပုဒ်မ ၁၁ (ဂ),2015GeneralElection
VoterList,96,Yes/No,မဲစာရင်းမှာ အမည်စာရင်းပါရန် ပိုက်ဆံပေးဖို့လိုလား။ ပုံစံတွေကို ပိုက်ဆံပေးဝယ်ရမှာလား။,မဲစာရင်းမှာ အမည်စာရင်းပါဖို့ ပိုက်ဆံပေးရန်မလိုပါ။ ပုံစံတွေကို သက်ဆိုင်ရာ ရပ်ကျေးကော်မရှင်ခွဲထံမှာ အခမဲ့ ထုတ်ယူရမှာ ဖြစ်ပါတယ်။,,,2015GeneralElection
VoterList,97,Open-ended,မဲစာရင်း ပြင်ဆင်ချက်ကို ဘယ်အချိန်မှာ အဖြေသိရမလဲ။,ပုံစံတင်သွင်းပြီးချိန်မှ ခုနစ်ရက်အတွင်း သက်ဆိုင်ရာ ပုဂ္ဂိုလ်ထံကို ရပ်ကွက်၊ ကျေးရွာအုပ်စု ကော်မရှင်ခွဲက ပြန်ပို့ပေးမှာ ဖြစ်ပါတယ်။ ,,နည်းဥပဒေ ၁၂ (ခ),2015GeneralElection
VoterList,98,Open-ended,ရပ်ကွက်၊ ကျေးရွာအုပ်စု ကော်မရှင်ခွဲရဲ့ ဆုံးဖြတ်ချက်ကို မကျေနပ်ရင် ဘာလုပ်ရမလဲ။,နည်းဥပဒေ ၁၂ (ခ)အရအကြောင်းကြားစာ လက်ခံရရှိတဲ့နေ့ကစပြီး၊ သုံးရက်အတွင်း သက်ဆိုင်ရာ မြို့နယ်ကော်မရှင်အဖွဲ့ခွဲထံကို အယူခံနိုင်ပါတယ်။ မြို့နယ်ကော်မရှင်အဖွဲ့ခွဲရဲ့ ဆုံးဖြတ်ချက်က အပြီးသတ်ဖြစ်ပါတယ်။,,နည်းဥပဒေ ၁၂ (ဂ),2015GeneralElection
VoterList,99,Yes/No,မဲဆန္ဒရှင်စာရင်းက ရွေးကောက်ပွဲပြီးသွားရင်ကော ဆက်ရှိဦးမှာလား။,မဲစာရင်းကို ဗဟိုကွန်ပျူတာ အချက်အလက် ဘဏ်မှာ ဆက်လက် ထိန်းသိမ်း ထားရှိမှာ ဖြစ်ပါတယ်။ ကြားဖြတ်ရွေးကောက်ပွဲများနဲ့ နောင်လာမယ့် အထွေထွေရွေးကောက်ပွဲတွေ မတိုင်ခင်မှာ နောက်ဆုံးရ သတင်းအချက်အလက်ကို ဆက်လက်ကောက်ယူနိုင်ရန် ထုတ်ပြန်ပေးမှာ ဖြစ်ပါတယ်။,,,2015GeneralElection
VoterList,100,Yes/No,မဲစာရင်း မိတ္တူကို ကူးယူခွင့်ရှိလား။,လွှတ်တော်ကိုယ်စားလှယ်လောင်းတဦးဦးက လျှောက်ထားလာရင် မဲစာရင်း မိတ္တူတစုံကို အခမဲ့ကူးယူခွင့် ပြုနိုင်ပါတယ်။ အခြားသူတဦးဦးက ခိုင်လုံသော အကြောင်းပြချက်နဲ့ လျှောက်ထားခြင်းဖြစ်ရင် တမျက်နှာမှာ ငွေ ၂၅ ကျပ်နှုန်း ပေးသွင်းစေပြီး၊ ကူးယူခွင့် ပြုနိုင်ပါတယ်။,,နည်းဥပဒေ ၁၅ (ခ),2015GeneralElection
HowtoVote,101,Yes/No,မွတ်စလင်တွေ မဲပေးခွင့်ရှိသလား။,ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း ဘာသာမရွေး ရွေးကောက်ပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိပါတယ်။,ပြည်သူ့လွှတ်တော် ဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၆,2015GeneralElection
HowtoVote,102,Yes/No,အမျိုးသမီးတွေ မဲပေးခွင့် ရှိသလား။,ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း အမျိုးသား၊ အမျိုးသမီး မရွေး၊ ရွေးကောက်ပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော်ဥပဒေ,လွှတ်တော် ဥပဒေ အပိုဒ် ၆,2015GeneralElection
HowtoVote,103,Yes/No,တိုင်းရင်းသားတွေ မဲပေးခွင့်ရှိသလား။,ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း ရွေးကောက်ပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိပါတယ်။ ,(၂၀၀၈) ဖွဲ့စည်းပုံအခြေခံဥပဒေ,ပုဒ်မ ၃၉၁ (က),2015GeneralElection
HowtoVote,104,Open-ended,မဲပေးခွင့် ရှိသူတွေက ဘယ်သူတွေလဲ။,ရွေးကောက်ပွဲစတင်ကျင်းပတဲ့နေ့မှာ အသက် (၁၈) နှစ်ပြည့်ပြီး၊ ဥပဒေပါ ပြဌာန်းချက်များနှင့် မဆန့်ကျင်သော နိုင်ငံသား၊ ဧည့်နိုင်ငံသားနဲ့ နိုင်ငံသားပြုခွင့်ရသူများ၊ သက်ဆိုင်ရာ မဲဆန္ဒနယ်ရဲ့ မဲစာရင်းမှာ ပါဝင်သူများက မဲပေးခွင့် ရှိပါတယ်။,ပြည်သူ့လွှတ်တော်,လွှတ်တော်ဥပဒေ- အပိုဒ် ၆,2015GeneralElection
HowtoVote,105,Open-ended,မဲပေးခွင့် မရှိသူတွေက ဘယ်သူတွေလဲ။,သာသနာ့ဝန်ထမ်း၊ ထောင်ဒဏ်ကျခံနေရသူ၊ စိတ်ပေါ့သွပ်သူ၊ လူမွဲအဖြစ် ဆုံးဖြတ်ကြေငြာခံထားရသည်မှ လွတ်မြောက်ခွင့် မရသေးသူ၊ ရွေးကောက်တင်မြှောက်ခြင်းဆိုင်ရာ ဥပဒေအရ တားမြစ်ခံရသူ၊ နိုင်ငံခြားသား သို့မဟုတ် နိုင်ငံခြားသားအဖြစ် ခံယူထားသူများ မဲပေးခွင့် မရှိပါ။ ,,လွှတ်တော်ဥပဒေ- အပိုဒ် ၇,2015GeneralElection
HowtoVote,106,Open-ended,မဲရုံဖွင့်ချိန်၊ ပိတ်ချိန်က ဘာတွေလဲ။,မဲရုံများကို နံနက် ၆ နာရီမှ ညနေ ၄ နာရီအထိ ဖွင့်လှစ်ထားပါတယ်။,ပြည်သူ့လွှတ်တော်,လွှတ်တော်ဥပဒေ ၄၂ (က),2015GeneralElection
HowtoVote,107,Yes/No,မိသားစုထဲမှ ခရီးလွန်နေသူများအတွက် ကိုယ်စားပြုမဲ ပေးခွင့်ရှိသလား။,ပေးခွင့်မရှိပါ။ တစုံတဦးအတွက် ကိုယ်စားပြုမဲပေးခြင်းဟာ ရွေးကောက်ပွဲဆိုင်ရာ ပြစ်မှု ဖြစ်ပါတယ်။ ,ပြည်သူ့လွှတ်တော်,လွှတ်တော်ဥပဒေ ၅၉,2015GeneralElection
HowtoVote,108,Yes/No,သာသနာ့ဝန်ထမ်းဆိုတာမှာ ယာယီ ရဟန်းဝတ်ထားသူတွေ ပါသလား။,သာသာနာ့ဝန်ထမ်း ဆိုတာမှာ ခေတ္တ သာသနာ့ဝန်ထမ်း ခံယူထားသူများနဲ့လဲ သက်ဆိုင်ပါတယ်။ ,ပြည်သူ့လွှတ်တော် ရွေးကောက်ပွဲဥပဒေ,လွှတ်တော်ဥပဒေ အခန်း (၁) အပိုဒ် ၂ (စျ),2015GeneralElection
HowtoVote,109,Open-ended,မဲပေးရာမှာ လျှို့ဝှက်မှုရှိအောင် ဘယ်လို လုပ်ရမလဲ။,ဆန္ဒမဲပေးသူဟာ လျှို၀က် ဆန္ဒပြုခန်း အတွင်းသို့ဝင်ပြီး၊ တံဆိပ်တုံးနှိပ် ဆန္ဒပြုပြီးတဲ့အခါ သူတပါး မမြင်စေဖို့ ဆန္ဒမဲလက်မှတ်ကို ခေါက်ပြီး၊ သတ်မှတ်ထားတဲ့ မဲပုံးမှာ ထည့်သွင်းရပါမယ်။,ပြည်သူ့လွှတ်တော်နည်းဥပဒေ,လွှတ်တော် ဥပဒေ အပို်ဒ် ၄၁ (က) (ခ),2015GeneralElection
HowtoVote,110,Open-ended,မဲပေးတဲ့သူ နောက်တကြိမ် ထပ်ပြီး၊ မဲလာမပေးအောင် ဘယ်လိုကာကွယ်ရမလဲ။,နောက်တကြိမ် မဲလာမပေးအောင် မဲရုံအထွက်မှာ မင်တို့တဲ့ စနစ်ကို ကျင့်သုံးထားပါတယ်။ ,ပြည်သူ့လွှတ်တော်နည်းဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၄၁ (ဂ),2015GeneralElection
HowtoVote,111,Yes/No,မဲရုံတွေကို စောပြီး ပိတ်နိုင်သလား။,ဆန္ဒမဲပေးပိုင်ခွင့် ရှိသူအားလုံး ဆန္ဒမဲပေးပြီးရင် မဲရုံများကို ညနေ ၄ နာရီထက် စောပြီး ပိတ်နိုင်ပါတယ်။,ပြည်သူ့လွှတ်တော်ဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၄၂ (က),2015GeneralElection
HowtoVote,112,Yes/No,မဲရုံပိတ်ချိန် လေးနာရီကျော်သွားရင် မဲပေးလို့ ရနိုင်သေးလား။,မဲရုံမပိတ်မီ မဲရုံပ၀ဏ်အတွင်းမှာ ဆန္ဒမဲပေးရန် ရောက်နေသူများအနက် မဲမပေးသူများရှိပါက စာရင်းကောက်ယူပြီး၊ စာရင်းထဲမှာ ပါသူများသာ ဆန္ဒမဲပေးချိန် ကျော်လွန်စေပေမယ့် မဲပေးခွင့် ရှိပါတယ်။,ပြည်သူ့လွှတ်တော် ဥပဒေ,လွှတ်တော် ဥပဒေ ၄၂ (ခ),2015GeneralElection
HowtoVote,113,Open-ended,ကြိုတင်မဲ ဘယ်သူတွေ ပေးခွင့်ရှိလဲ။,မဲဆန္ဒနယ်ပြင်ပရောက် တပ်မတော်သားများ၊ ကျောင်းသားများ၊ သင်တန်းသားများ၊ အချုပ်ခံနေရသူများနဲ့ ဆေးရုံသို့ တက်ရောက်ကုသနေသူများက ကြိုတင်မဲနဲ့ သက်ဆိုင်ရာ မဲဆန္ဒနယ်မှာ ပေးနိုင်ဖို့ သက်ဆိုင်ရာ မြို့နယ်ကော်မရှင်ခွဲက စီစဉ်ပေးရပါတယ်။ မဲပေးပိုင်ခွင့် ရှိသူက အမည်စာရင်းပါတဲ့ မဲဆန္ဒနယ်ကို ကျော်လွန်ပြီး၊ ခရီး၀သွားဖို့ရှိရင် ကြိုတင်မဲပေးနိုင်ဖို့ သက်ဆိုင်ရာ ရပ်ကွက်၊ ကျေးရွာ ကော်မရှင်ခွဲက စီစဉ်ပေးရပါတယ်။,,လွှတ်တော်ဥပဒေ ၄၅,2015GeneralElection
HowtoVote,115,Open-ended,မဲဆန္ဒနယ် ပြင်ပရောက် ကျောင်းသားနဲ့ သင်တန်းသား ဘာကွာလဲ။,မဲဆန္ဒနယ် ပြင်ပရောက် ကျောင်းသားဆိုတာက အစိုးရဖွင့်လှစ်ထားတာ (သို့မဟုတ်) အသိအမှတ်ပြုထားတဲ့ ကျောင်းများမှာ မိမိနဲ့ သက်ဆိုင်တဲ့ မဲဆန္ဒနယ်ရဲ့ ပြင်ပမှာ ပညာသင်ကြားနေသူကို ဆိုလိုပါတယ်။ မဲဆန္ဒနယ် ပြင်ပရောက် သင်တန်းသား ဆိုတာက မိမိနဲ့သက်ဆိုင်တဲ့ မဲဆန္ဒနယ်ပြင်ပမှာ အစိုးရဌာန သို့မဟုတ် အစိုးရအဖွဲ့အစည်းက ဖွင့်လှစ်သင်ကြားတဲ့ သင်တန်းတခုခုကို တက်ရောက်လေ့ကျင့် ပညာသင်ကြားနေသူကို ဆိုလိုတာ ဖြစ်ပါတယ်။ ,,နည်းဥပဒေ ၂ (ဂ) (ဃ),2015GeneralElection
HowtoVote,116,Yes/No,ထောင်မှ လွတ်လာသူတွေ မဲပေးခွင့်ရှိလား။,ထောင်ဒဏ်ကျခံနေရသူများသာ မဲပေးခွင့် မရှိတာပါ။ လွတ်မြောက်လာရင် မဲပေးခွင့် ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲဥပဒေ,ရွေးကောက်ပွဲဥပဒေ- အပိုဒ် ၇ (ခ)၊ အပိုဒ် ၂ (ဋ),2015GeneralElection
HowtoVote,117,Yes/No,ကိုယ်စားလှယ်လောင်းများ မဲပေးခွင့်ရှိလား။,မဲပေးခွင့် ရှိပါတယ်။ ကန့်သတ်ချက် မရှိပါ။ ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း  ရွေးကောက်ပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၆ ၊အပိုဒ် ၇,2015GeneralElection
HowtoVote,118,Yes/No,ပါတာဝန်များ မဲပေးခွင့်ရှိလား။,မဲပေးခွင့် ရှိပါတယ်။ ကန့်သတ်ချက် မရှိပါ။ ဥပဒေအရ ဆန္ဒမဲပေးပိုင်ခွင့်ရှိသူတိုင်း  ရွေးကောက်ပွဲမှာ ဆန္ဒမဲပေးပိုင်ခွင့် ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲဥပဒေ,လွှတ်တော်ဥပဒေ အပိုဒ် ၆ အပိုဒ် ၇,2015GeneralElection
HowtoVote,119,Yes/No,ဆေးရုံအတွင်းလူနာများ မဲပေးခွင့်ရှိလား။,ဆေးရုံအတွင်းလူနာများ ကြိုတင်မဲပေးခွင့် ရှိပါတယ်။ ,ပြည်သူ့လွှတ်တော်ရွေးကောက်ပွဲဥပဒေ,ရွေးကောက်ပွဲ ဥပဒေ အပို်ဒ် ၄၅ (င),2015GeneralElection
HowtoVote,120,Open-ended,နိုင်ငံပြင်ပမဲတွေကို ဘယ်သူတွေ ပေးခွင့်ရှိလဲ။,သံတမန်များ၊ အစိုးရက တာဝန်ပေးအပ်စေလွှတ်ထားတဲ့ အရပ်ဘက်ဝန်ထမ်းများ၊ နိုင်ငံပြင်ပရှိ နိုင်ငံတကာ အဖွဲ့အစည်းများမှာ တာဝန်ထမ်းဆောင်နေသူများ၊ အစိုးရခွင့်ပြုချက်နဲ့ အလုပ်လုပ်နေတဲ့ ပုဂ္ဂလိက စီးပွားရေး လုပ်ငန်းရှင်များ၊ အစိုးရစေလွှတ်မှုနဲ့ နိုင်ငံပြင်ပရောက်နေတဲ့ ပညာတော်သင်များ၊ အစိုးရခွင့်ပြုချက်နဲ့ နိုင်ငံပြင်ပရောက်နေသူများမှာ မဲပေးခွင့် ရှိပါတယ်။,ပြည်သူ့လွှတ်တော်နည်းဥပဒေ,ဥပဒေ အပိုဒ် ၅၇ (က)(၂),2015GeneralElection
HowtoVote,121,Yes/No,သက်သေခံကဒ်ပြားမပါဘဲ မဲပေးနိုင်ပါသလား။,မဲပေးနိုင်ပါသည်။ ဥပဒေအရ မဲဆန္ဒရှင်များအနေဖြင့် ဆန္ဒမဲပေးရန်အတွက် သက်သေခံကဒ်ပြား ယူဆောင်လာရန် မလိုအပ်ပါ။ မဲဆန္ဒရှင်အနေဖြင့် မဲဆန္ဒရှင်စာရင်းတွင်ပါဝင်ရုံဖြင့် မဲပေးခွင့်ရှိပါသည်။ သို့သော် အလေးထားအကြံပြုလိုသည်မှာ မဲဆန္ဒရှင်များအနေဖြင့် ဆန္ဒမဲပေးရာတွင် လိုအပ်ပါက သက်သေပြနိုင်ရန်အတွက် သက်သေခံကဒ်ပြားတစ်ခုခုပါသင့်ပါသည်။,ပြည်သူ့လွှတ်တော် ဥပဒေ အပိုဒ် ၆ (ခ) ၊ ပြည်ထောင်စုရွေးကောက်ပွဲကော်မရှင် ၂၀၁၅ မြန်မာနိုင်ငံ အထွေထွေရွေးကောက်ပွဲ မဲရုံမှူး၊ ဒုတိယမဲရုံမှူးနှင့် မဲရုံအဖွဲ့ဝင် လက်စွဲစာအုပ်,အခန်း ၃.၁ (၂),2015GeneralElection
HowtoVote,122,Open-ended,မဲရုံမှာ တိုင်းရင်းသာဝတ်စုံဝတ်လို့ရလား။,မဲရုံမှာဝတ်စုံ ကန့်သတ်ချက် မရှိပါ။ ပါတီတံဆိပ်ပါဝတ်စုံများဝတ်ဆင်ခြင်းကိုသာ ကန့်သတ်ထားပါတယ်။,,,2015GeneralElection
HowtoVote,123,Yes/No,မဲပေးတဲ့နေ့မှာ ထောင်က ထွက်လာပါက မဲပေးခွင့်ရှိသလား။,မဲစာရင်းမှာ အမည်စာရင်းပါရင်တော့ မဲပေးခွင့် ရှိပါတယ်။,ပြည်သူ့လွှတ်တော်ဥပဒေ,အပိုဒ် ၆ (ခ)၊ အပိုဒ် ၇,2015GeneralElection
